TESS Input Catalog identifier,Tess magnitude,Luminosity (in L_sun),Effective Temp. (in K),Radius (in R_sun),Period of Rotation (in days),Rossby Number,Bolometric Energy (in erg units),Relative flare amplitude,Mass (in M_sun)
149175965,12.2972,0.032349899,3539,0.479814,0.223685,0.00223685,1.55E+34,0.23735,0.402966589
149216532,13.2205,0.008311515,3178,0.301599,1.049914,0.01049914,1.71E+33,0.27556,0.239885857
149347629,12.785,0.019558557,3162,0.46735,0.56596,0.0056596,1.66E+33,0.13781,0.332551036
149838027,12.2778,0.012809059,3148,0.381581,0.537252,0.00537252,7.29E+33,0.33994,0.282942483
150167319,13.7043,0.012836245,3142,0.383446,1.096653,0.01096653,5.70E+33,0.27276,0.283171537
150321663,14.728,0.002234026,3022,0.172923,0.427334,0.00427334,8.13E+32,0.90717,0.14528522
150359500,9.74783,0.013902391,3286,0.364844,1.034343,0.01034343,2.54E+32,0.05031,0.29192774
150432211,12.8117,0.009342196,3264,0.303125,1.034343,0.01034343,1.73E+33,0.11094,0.250831473
152088075,12.3115,0.006142369,3101,0.272309,0.356666,0.00356666,1.42E+32,0.13223,0.21373381
152875048,13.5841,0.002637691,3067,0.182424,0.532294,0.00532294,2.08E+32,0.09169,0.154794007
155776875,14.0815,0.001642177,2898,0.161217,0.948148,0.00948148,3.09E+32,0.3306,0.129182312
155895287,13.4963,0.004615375,3067,0.241309,0.70912,0.0070912,8.11E+32,0.96615,0.191644244
155896947,12.9188,0.002413687,3029,0.178912,0.357278,0.00357278,1.46E+32,0.29097,0.149638404
156002545,11.4801,0.022514687,3318,0.455384,0.352863,0.00352863,1.72E+33,0.08382,0.350905378
158596311,12.28,0.01218782,3159,0.369625,0.154619,0.00154619,9.56E+32,0.04422,0.277624152
158624542,8.7045,0.078404404,3850,0.63117,27.1518,0.271518,1.02E+33,0.01401,0.564953069
160113240,13.7837,0.005476457,3138,0.251097,1.389652,0.01389652,1.94E+33,1.85419,0.204574622
161174284,11.8795,0.001853648,2964,0.16374,1.000244,0.01000244,1.09E+32,0.10969,0.135295118
161174286,11.7183,0.002001823,3008,0.165217,1.000244,0.01000244,1.47E+32,0.14293,0.139325181
161267354,13.6546,0.006731606,3166,0.273486,0.58724,0.0058724,6.91E+32,0.0808,0.221338772
166787846,12.4059,0.010913629,3105,0.362042,0.460872,0.00460872,5.99E+32,0.15592,0.266166322
166808151,9.92552,0.065935364,3510,0.696374,0.740018,0.00740018,3.60E+33,0.04329,0.528812443
167305187,13.318,0.006392005,3216,0.258276,2.349058,0.02349058,3.79E+32,0.0669,0.217008499
167306154,11.6603,0.033322536,3436,0.516607,2.844444,0.02844444,9.88E+32,0.03547,0.407548583
167525513,13.3162,0.002099081,2967,0.173891,1.611013,0.01611013,1.43E+33,1.94959,0.141870986
167812509,13.0143,0.001650566,2907,0.160629,0.336186,0.00336186,4.00E+32,0.55614,0.129433784
167814740,13.2431,0.028518721,3283,0.523505,0.402475,0.00402475,6.60E+33,0.18087,0.384038539
175298549,12.0423,0.015529674,3205,0.405343,1.19766,0.0119766,5.83E+32,0.03501,0.304525578
